"SAMPLE","PLOT","TREAT","CORNER","VIAL","ORG_MIN","COARSE_FINE","DIVID","VIAL_WEIGHT","BAG","NOTES","DRY_WEIGHT_BAG","DUP","SITE","DEPTH_CM","DEPTH","DRY_WEIGHT"
"57_2SW_MC","57_2",2,"SW","424","M","C","Y",2.14,50,"",0,"","DALTON",5,"5_10",2.14
"57_2SW_MC","57_2",2,"SW","430","M","C","Y",0.53,52,"",0,"","DALTON",5,"0_5",0.53
"57_2SW_MF","57_2",2,"SW","118","M","F","Y",11.05,NA,"",95.31,"","DALTON",5,"10_15",106.36
"57_2SW_MF","57_2",2,"SW","174","M","F","Y",6.62,NA,"",122.81,"","DALTON",5,"0_5",129.43
"57_2SW_MF","57_2",2,"SW","183","M","F","Y",11.32,NA,"",133.95,"","DALTON",5,"5_10",145.27
"58_0C_O","58_0",0,"C","563","O","","Y",7.31,57,"",30.78,"","DALTON",17,"FULL",38.09
"58_0C_MC","58_0",0,"C","431","M","C","Y",1.58,58,"REDO",0.24,"DUP","DALTON",5,"0_5",1.82
"58_0C_MC","58_0",0,"C","432","M","C","Y",0.52,106,"REDO",0,"DUP","DALTON",5,"5_10",0.52
"58_0C_MC","58_0",0,"C","875","M","C","Y",0.58,83,"REDONE_DROP",0,"DUP","DALTON",5,"0_5",0.58
"58_0C_MC","58_0",0,"C","912","M","C","Y",12.61,159,"REDONE_DROP",10.96,"DUP","DALTON",5,"5_10",23.57
"58_0C_MC","58_0",0,"C","947","M","C","Y",8.11,143,"REDO",0,"","DALTON",5,"10_15",8.11
"58_0C_MF","58_0",0,"C","153","M","F","Y",5.23,83,"REDONE_DROP",17.23,"DUP","DALTON",5,"0_5",22.46
"58_0C_MF","58_0",0,"C","5","M","F","Y",0,NA,"REDO",18.81,"DUP","DALTON",5,"0_5",18.81
"58_0C_MF","58_0",0,"C","56","M","F","Y",7.95,NA,"REDO",55.11,"DUP","DALTON",5,"5_10",63.06
"58_0C_MF","58_0",0,"C","911","M","F","Y",17.47,159,"REDONE_DROP",23.15,"DUP","DALTON",5,"5_10",40.62
"58_0C_MF","58_0",0,"C","941","M","F","Y",13.08,143,"REDO",18.03,"","DALTON",5,"10_15",31.11
"58_0NE_O","58_0",0,"NE","663","O","","Y",7.95,162,"",37.19,"","DALTON",16,"FULL",45.14
"58_0NE_MC","58_0",0,"NE","355","M","C","Y",13.3,79,"",0,"","DALTON",5,"0_5",13.3
"58_0NE_MC","58_0",0,"NE","836","M","C","Y",16.75,NA,"",3.73,"","DALTON",5,"5_10",20.48
"58_0NE_MF","58_0",0,"NE","924","M","C","Y",18.49,45,"",3.07,"DUP","DALTON",5,"10_15",21.56
"58_0NE_MF","58_0",0,"NE","48","M","F","Y",11.09,NA,"",118.18,"","DALTON",5,"0_5",129.27
"58_0NE_MF","58_0",0,"NE","839","M","F","Y",21.65,NA,"",51.63,"","DALTON",5,"5_10",73.28
"58_0NE_MF","58_0",0,"NE","923","M","F","Y",20.8,45,"",40.72,"DUP","DALTON",5,"10_15",61.52
"58_0NW_O","58_0",0,"NW","739","O","","Y",4.19,81,"",20.35,"","DALTON",27,"FULL",24.54
"58_0NW_MC","58_0",0,"NW","322","M","C","Y",5.2,164,"",0,"","DALTON",5,"0_5",5.2
"58_0NW_MC","58_0",0,"NW","822","M","C","Y",14.12,NA,"",12.24,"","DALTON",5,"10_15",26.36
"58_0NW_MC","58_0",0,"NW","913","M","C","Y",0.68,54,"",0,"","DALTON",5,"5_10",0.68
"58_0NW_MF","58_0",0,"NW","154","M","F","Y",8.74,164,"",122.23,"","DALTON",5,"0_5",130.97
"58_0NW_MF","58_0",0,"NW","50","M","F","Y",12.21,NA,"",132.43,"","DALTON",5,"5_10",144.64
"58_0NW_MF","58_0",0,"NW","824","M","F","Y",18.91,46,"",66.64,"","DALTON",5,"10_15",85.55
"58_0SE_O","58_0",0,"SE","483","O","","Y",8.31,156,"",18.82,"","DALTON",14,"FULL",27.13
"58_0SE_MC","58_0",0,"SE","517","M","C","Y",12.53,63,"",0,"","DALTON",5,"10_15",12.53
"58_0SE_MC","58_0",0,"SE","795","M","C","Y",14.01,77,"",49.79,"","DALTON",5,"5_10",63.8
"58_0SE_MC","58_0",0,"SE","930","M","C","Y",14.89,48,"",31.77,"","DALTON",5,"0_5",46.66
"58_0SE_MF","58_0",0,"SE","43","M","F","Y",11.29,63,"",90.08,"","DALTON",5,"10_15",101.37
"58_0SE_MF","58_0",0,"SE","796","M","F","Y",18.14,77,"",33.24,"","DALTON",5,"5_10",51.38
"58_0SE_MF","58_0",0,"SE","928","M","F","Y",17.18,48,"",23.62,"","DALTON",5,"0_5",40.8
"58_0SW_O","58_0",0,"SW","864","O","","Y",4.39,49,"",18.99,"","DALTON",11,"FULL",23.38
"58_0SW_MC","58_0",0,"SW","937","M","C","Y",12.05,76,"",23.17,"","DALTON",5,"0_5",35.22
"58_0SW_MF","58_0",0,"SW","934","M","C","Y",16.8,40,"",23.69,"DUP","DALTON",5,"10_15",40.49
"58_0SW_MF","58_0",0,"SW","932","M","F","Y",24,40,"",38.07,"DUP","DALTON",5,"10_15",62.07
"58_0SW_MF","58_0",0,"SW","942","M","F","Y",17.05,76,"",32.47,"","DALTON",5,"0_5",49.52
"6_0C_O","6_0",0,"C","951","O","","N",5.79,NA,"",19.49,"","STEESE",21,"FULL",25.28
"6_0C_MC","6_0",0,"C","991","M","C","N",14.87,NA,"",105.27,"","STEESE",15,"FULL",120.14
"6_0C_MF","6_0",0,"C","988","M","F","N",23.64,NA,"",66.89,"","STEESE",15,"FULL",90.53
"6_0NE_O","6_0",0,"NE","959","O","","N",6.44,NA,"",16,"","STEESE",12.5,"FULL",22.44
"6_0NW_O","6_0",0,"NW","963","O","","N",8.43,NA,"",26.02,"","STEESE",28.5,"FULL",34.45
"6_0SE_O","6_0",0,"SE","971","O","","N",4.77,NA,"",18.285,"","STEESE",20,"FULL",23.055
"6_0SE_MC","6_0",0,"SE","966","M","C","N",14.98,NA,"",106.13,"","STEESE",15,"FULL",121.11
"6_0SE_MF","6_0",0,"SE","965","M","F","N",21.76,NA,"",46.4,"","STEESE",15,"FULL",68.16
"6_0SW_O","6_0",0,"SW","956","O","","N",6.01,NA,"",11.63,"","STEESE",17,"FULL",17.64
"6_0SW_MC","6_0",0,"SW","982","M","C","N",19.82,NA,"",262.36,"","STEESE",15,"FULL",282.18
"6_0SW_MF","6_0",0,"SW","992","M","F","N",18.54,NA,"",153.89,"","STEESE",15,"FULL",172.43
"64_1C_O","64_1",1,"C","733","O","","Y",8.09,108,"",19.52,"","DALTON",3,"FULL",27.61
"64_1C_MC","64_1",1,"C","589","M","C","Y",16.69,55,"",24.63,"","DALTON",5,"0_5",41.32
"64_1C_MC","64_1",1,"C","731","M","C","Y",10.3,71,"",0,"","DALTON",5,"5_10",10.3
"64_1C_MF","64_1",1,"C","123","M","F","Y",10.82,NA,"",60.32,"","DALTON",5,"5_10",71.14
"64_1C_MF","64_1",1,"C","270","M","F","Y",7.25,55,"",45.53,"","DALTON",5,"0_5",52.78
"64_1NE_O","64_1",1,"NE","851","O","","Y",7.46,47,"",15.06,"","DALTON",3,"FULL",22.52
"64_1NE_MC","64_1",1,"NE","342","M","C","Y",25.78,143,"",11.9,"","DALTON",5,"10_15",37.68
"64_1NE_MC","64_1",1,"NE","446","M","C","Y",20.12,56,"",0,"","DALTON",5,"5_10",20.12
"64_1NE_MC","64_1",1,"NE","787","M","C","Y",9.25,33,"",39.13,"","DALTON",5,"0_5",48.38
"64_1NE_MF","64_1",1,"NE","124","M","F","Y",13.43,NA,"",116.11,"","DALTON",5,"10_15",129.54
"64_1NE_MF","64_1",1,"NE","187","M","F","Y",9.15,NA,"",95.6,"","DALTON",5,"5_10",104.75
"64_1NE_MF","64_1",1,"NE","267","M","F","Y",6.21,33,"",24.79,"","DALTON",5,"0_5",31
"64_1NW_O","64_1",1,"NW","854","O","","Y",8.95,101,"",20.71,"","DALTON",2,"FULL",29.66
"64_1NW_MC","64_1",1,"NW","405","M","C","Y",6.8,34,"",0,"","DALTON",5,"0_5",6.8
"64_1NW_MC","64_1",1,"NW","409","M","C","Y",12.68,39,"",0,"","DALTON",5,"5_10",12.68
"64_1NW_MC","64_1",1,"NW","443","M","C","Y",13.07,29,"",0,"","DALTON",5,"10_15",13.07
"64_1NW_MF","64_1",1,"NW","10","M","F","Y",7.88,NA,"",75.87,"","DALTON",5,"5_10",83.75
"64_1NW_MF","64_1",1,"NW","272","M","F","Y",11.6,29,"",62.39,"","DALTON",5,"10_15",73.99
"64_1NW_MF","64_1",1,"NW","8","M","F","Y",3.43,NA,"",37.59,"","DALTON",5,"0_5",41.02
"64_1SE_O","64_1",1,"SE","785","O","","Y",8.31,62,"",21.91,"","DALTON",3,"FULL",30.22
"64_1SE_MC","64_1",1,"SE","406","M","C","Y",6.32,102,"",2.68,"","DALTON",5,"0_5",9
"64_1SE_MC","64_1",1,"SE","530","M","C","Y",17.34,99,"",0,"","DALTON",5,"5_10",17.34
"64_1SE_MC","64_1",1,"SE","607","M","C","Y",12.51,41,"",0,"","DALTON",5,"10_15",12.51
"64_1SE_MF","64_1",1,"SE","19","M","F","Y",7.37,NA,"",68.87,"","DALTON",5,"0_5",76.24
"64_1SE_MF","64_1",1,"SE","289","M","F","Y",15.06,41,"",168.61,"","DALTON",5,"10_15",183.67
"64_1SE_MF","64_1",1,"SE","6","M","F","Y",2.29,NA,"",103.15,"","DALTON",5,"5_10",105.44
"64_1SW_O","64_1",1,"SW","855","O","","Y",15.14,165,"",24.06,"","DALTON",15,"FULL",39.2
"64_1SW_MC","64_1",1,"SW","372","M","C","Y",22.89,7,"",0,"","DALTON",5,"10_15",22.89
"64_1SW_MC","64_1",1,"SW","631","M","C","Y",17.31,17,"",5.93,"","DALTON",5,"0_5",23.24
"64_1SW_MC","64_1",1,"SW","637","M","C","Y",11.51,35,"",0,"","DALTON",5,"5_10",11.51
"64_1SW_MF","64_1",1,"SW","120","M","F","Y",13.57,NA,"",90.03,"","DALTON",5,"5_10",103.6
"64_1SW_MF","64_1",1,"SW","166","M","F","Y",7.44,NA,"",78.55,"","DALTON",5,"10_15",85.99
"64_1SW_MF","64_1",1,"SW","277","M","F","Y",12.14,17,"",69.5,"","DALTON",5,"0_5",81.64
"65_1C_O","65_1",1,"C","784","O","","Y",3.54,80,"",14.71,"","DALTON",5,"FULL",18.25
"65_1C_MC","65_1",1,"C","411","M","C","Y",11.61,25,"",0,"","DALTON",5,"5_10",11.61
"65_1C_MC","65_1",1,"C","526","M","C","Y",11.83,140,"",0,"","DALTON",5,"0_5",11.83
"65_1C_MC","65_1",1,"C","620","M","C","Y",8.02,81,"",0,"","DALTON",5,"10_15",8.02
"65_1C_MF","65_1",1,"C","194","M","F","Y",7.81,140,"",91.4,"","DALTON",5,"0_5",99.21
"65_1C_MF","65_1",1,"C","211","M","F","Y",6.55,81,"",74.74,"","DALTON",5,"10_15",81.29
"65_1C_MF","65_1",1,"C","7","M","F","Y",3.24,NA,"",86.29,"","DALTON",5,"5_10",89.53
"65_1NE_O","65_1",1,"NE","774","O","","Y",6.72,27,"",15.77,"","DALTON",3,"FULL",22.49
"65_1NE_MC","65_1",1,"NE","415","M","C","Y",15.11,142,"",0,"","DALTON",5,"5_10",15.11
"65_1NE_MC","65_1",1,"NE","611","M","C","Y",15.52,86,"",0,"","DALTON",5,"10_15",15.52
"65_1NE_MC","65_1",1,"NE","628","M","C","Y",19.88,4,"",5.49,"","DALTON",5,"0_5",25.37
"65_1NE_MF","65_1",1,"NE","248","M","F","Y",9.53,4,"",78.24,"","DALTON",5,"0_5",87.77
"65_1NE_MF","65_1",1,"NE","4","M","F","Y",3.98,NA,"",58.2,"","DALTON",5,"5_10",62.18
"65_1NE_MF","65_1",1,"NE","88","M","F","Y",11.46,NA,"",81.59,"","DALTON",5,"10_15",93.05
"65_1NW_O","65_1",1,"NW","858","O","","Y",5.47,66,"",7.79,"","DALTON",1.5,"FULL",13.26
"65_1NW_MC","65_1",1,"NW","423","M","C","Y",9.03,49,"",0,"","DALTON",5,"5_10",9.03
"65_1NW_MC","65_1",1,"NW","445","M","C","Y",6.97,48,"",0,"","DALTON",5,"10_15",6.97
"65_1NW_MC","65_1",1,"NW","691","M","C","Y",10.27,95,"DOUBLE CHECK C",0,"","DALTON",5,"0_5",10.27
"65_1NW_MF","65_1",1,"NW","160","M","F","Y",8.52,NA,"",77.82,"","DALTON",5,"10_15",86.34
"65_1NW_MF","65_1",1,"NW","18","M","F","Y",6.62,NA,"",103.35,"","DALTON",5,"5_10",109.97
"65_1NW_MF","65_1",1,"NW","271","M","F","Y",6.28,95,"",60.03,"","DALTON",5,"0_5",66.31
"65_1SE_O","65_1",1,"SE","573","O","","Y",3.58,65,"",12.92,"","DALTON",1,"FULL",16.5
"65_1SE_MC","65_1",1,"SE","421","M","C","Y",7.12,127,"",0,"","DALTON",5,"0_5",7.12
"65_1SE_MC","65_1",1,"SE","444","M","C","Y",8.76,73,"",0,"","DALTON",5,"5_10",8.76
"65_1SE_MF","65_1",1,"SE","223","M","F","Y",7.42,73,"",28.37,"","DALTON",5,"5_10",35.79
"65_1SE_MF","65_1",1,"SE","298","M","F","Y",13.3,126,"NO COARSE",68.35,"","DALTON",5,"10_15",81.65
"65_1SE_MF","65_1",1,"SE","9","M","F","Y",0.53,NA,"",38.44,"","DALTON",5,"0_5",38.97
"65_1SW_O","65_1",1,"SW","314","O","","Y",6.42,13,"",21.24,"","DALTON",6,"FULL",27.66
"65_1SW_MC","65_1",1,"SW","386","M","C","Y",13.77,53,"",0,"","DALTON",5,"5_10",13.77
"65_1SW_MC","65_1",1,"SW","534","M","C","Y",7.78,30,"",0,"","DALTON",5,"0_5",7.78
"65_1SW_MC","65_1",1,"SW","781","M","C","Y",6.18,12,"",0,"","DALTON",5,"10_15",6.18
"65_1SW_MF","65_1",1,"SW","128","M","F","Y",10.88,NA,"",64.86,"","DALTON",5,"5_10",75.74
"65_1SW_MF","65_1",1,"SW","221","M","F","Y",7.87,12,"",57.34,"","DALTON",5,"10_15",65.21
"65_1SW_MF","65_1",1,"SW","262","M","F","Y",8.7,30,"",51.93,"","DALTON",5,"0_5",60.63
"7_3C_O","7_3",3,"C","311","O","","N",4.94,88,"",12.02,"","DALTON",0.5,"FULL",16.96
"7_3C_MC","7_3",3,"C","590","M","C","N",4.54,79,"",0,"","DALTON",15,"FULL",4.54
"7_3C_MF","7_3",3,"C","279","M","F","N",14.44,79,"",376.79,"","DALTON",15,"FULL",391.23
"7_3NE_O","7_3",3,"NE","488","O","","N",12.75,76,"",13.63,"","DALTON",4,"FULL",26.38
"7_3NE_MC","7_3",3,"NE","718","M","C","N",24.44,117,"",173.73,"DUP","DALTON",15,"FULL",198.17
"7_3NE_MF","7_3",3,"NE","238","M","C","N",6.49,117,"?",173.73,"DUP","DALTON",15,"FULL",180.22
"7_3NE_MF","7_3",3,"NE","69","M","F","N",11.13,NA,"",189.29,"DUP","DALTON",15,"FULL",200.42
"7_3NW_O","7_3",3,"NW","471","O","","N",6.35,119,"",3.16,"","DALTON",1,"FULL",9.51
"7_3NW_MC","7_3",3,"NW","604","M","C","N",4.16,139,"",0,"","DALTON",15,"FULL",4.16
"7_3NW_MF","7_3",3,"NW","302","M","F","N",11.03,139,"",368.96,"","DALTON",15,"FULL",379.99
"7_3SE_O","7_3",3,"SE","884","O","","N",9.23,87,"",0,"","DALTON",1,"FULL",9.23
"7_3SE_MC","7_3",3,"SE","848","M","C","N",15.01,89,"",130.17,"","DALTON",15,"FULL",145.18
"7_3SE_MF","7_3",3,"SE","847","M","F","N",18.89,89,"",238.6,"","DALTON",15,"FULL",257.49
"7_3SW_O","7_3",3,"SW","859","O","","N",6.72,59,"",8.81,"","DALTON",2,"FULL",15.53
"7_3SW_MC","7_3",3,"SW","749","M","C","N",15.48,68,"",77.57,"","DALTON",15,"FULL",93.05
"7_3SW_MF","7_3",3,"SW","750","M","F","N",14.17,68,"",195.32,"","DALTON",15,"FULL",209.49
"8_2C_O","8_2",2,"C","831","O","","N",8.49,92,"",0,"","DALTON",2,"FULL",8.49
"8_2C_MC","8_2",2,"C","349","M","C","N",15.72,85,"",6.95,"","DALTON",15,"FULL",22.67
"8_2C_MF","8_2",2,"C","132","M","F","N",8.9,NA,"",261.25,"","DALTON",15,"FULL",270.15
"8_2NE_O","8_2",2,"NE","374","O","","N",7.77,18,"",10.53,"DUP","DALTON",1,"FULL",18.3
"8_2NE_O","8_2",2,"NE","641","O","","N",6.54,18,"",NA,"DUP","DALTON",1,"FULL",NA
"8_2NE_MC","8_2",2,"NE","586","M","C","N",15.87,124,"",0,"","DALTON",15,"FULL",15.87
"8_2NE_MF","8_2",2,"NE","300","M","F","N",12.49,124,"",321.38,"","DALTON",15,"FULL",333.87
"8_2NW_O","8_2",2,"NW","486","O","","N",6.03,30,"",2.15,"","DALTON",2,"FULL",8.18
"8_2NW_MC","8_2",2,"NW","667","M","C","N",10.8,1,"",28.59,"","DALTON",15,"FULL",39.39
"8_2NW_MF","8_2",2,"NW","666","M","F","N",9.71,1,"",280.68,"","DALTON",15,"FULL",290.39
"8_2SE_O","8_2",2,"SE","776","O","","N",6.46,144,"",8.28,"","DALTON",1,"FULL",14.74
"8_2SE_MC","8_2",2,"SE","605","M","C","N",9.01,152,"",1.01,"","DALTON",15,"FULL",10.02
"8_2SE_MF","8_2",2,"SE","251","M","F","N",11.98,152,"",371.94,"","DALTON",15,"FULL",383.92
"8_2SW_O","8_2",2,"SW","789","O","","N",5.03,75,"",6.51,"","DALTON",1,"FULL",11.54
"8_2SW_MC","8_2",2,"SW","554","M","C","N",13.35,32,"",0,"DUP","DALTON",15,"FULL",13.35
"18_1SW_MC","18_1",2,"SW","591","M","C","N",22.96,136,"Bag says 8_1",30.49,"","STEESE",15,"FULL",53.45
"18_1SW_MF","18_1",2,"SW","215","M","F","N",12.68,136,"Bag says 8_1",441,"","DALTON",15,"FULL",453.68
"8_2SW_MF","8_2",2,"SW","287","M","F","N",17.67,32,"",374.15,"DUP","DALTON",15,"FULL",391.82
"9_0C_O","9_0",0,"C","953","O","","N",8.43,NA,"",25.41,"","STEESE",24,"FULL",33.84
"9_0NE_O","9_0",0,"NE","958","O","","N",8.55,NA,"",162.11,"","STEESE",22,"FULL",170.66
"9_0NE_MC","9_0",0,"NE","981","M","C","N",15.95,NA,"",282.6,"","STEESE",15,"FULL",298.55
"9_0NE_MF","9_0",0,"NE","986","M","F","N",20.42,NA,"",117.92,"","STEESE",15,"FULL",138.34
"9_0NW_O","9_0",0,"NW","984","O","","N",7.95,NA,"",37.64,"","STEESE",22.5,"FULL",45.59
"9_0NW_MC","9_0",0,"NW","983","M","C","N",23.48,NA,"",215.63,"","STEESE",15,"FULL",239.11
"9_0SE_O","9_0",0,"SE","964","O","","N",4.99,NA,"",25.11,"","STEESE",23,"FULL",30.1
"9_0SE_MC","9_0",0,"SE","980","M","C","N",16.88,NA,"",82.97,"","STEESE",15,"FULL",99.85
"9_0SE_MF","9_0",0,"SE","979","M","F","N",13.89,NA,"",10.18,"","STEESE",15,"FULL",24.07
"9_0SW_O","9_0",0,"SW","950","O","","N",6.33,NA,"",45.59,"","STEESE",18,"FULL",51.92
