VIAL,SAMPLE,SITE,PLOT,TREAT,CORNER,ORG_MIN,COARSE_FINE,DEPTH,DIVID,BAG,VIAL_WEIGHT,NOTES
662,17_3NE_MC,,17_3,3,NE,M,C,,Y,123,21.54,
663,58_0NE_O,,58_0,0,NE,O,,,N,162,7.95,
664,48_1SW_MC,,48_1,1,SW,M,C,,Y,163,19.54,
665,16_2NE_MF,,16_2,2,NE,M,F,,Y,82,25.99,
666,8_2NW_MF,,8_2,2,NW,M,F,,Y,1,9.71,
667,8_2NW_MC,,8_2,2,NW,M,C,,Y,1,10.8,
668,18_1SE_O,,18_1,1,SE,O,,,N,NA,10.64,
669,2_3NW_MF,,2_3,3,NW,M,F,,Y,46,26.38,
670,25_3SE_MF,,25_3,3,SE,M,F,,Y,56,26.52,
671,23_3SW_MF,,23_3,3,SW,M,F,,Y,143,26.3,
672,23_3SW_MC,,23_3,3,SW,M,C,,Y,NA,18.55,
673,25_3SE_MC,,25_3,3,SE,M,C,,Y,56,20.63,
674,36_1C_O,,36_1,1,C,O,,,N,NA,8.71,
675,33_1NW_O,,33_1,1,NW,O,,,N,NA,7.2,
676,16_2NE_MC,,16_2,2,NE,M,C,,Y,82,17.19,
677,23_3C_MF,,23_3,3,C,M,F,,Y,48,23.6,
678,23_3C_MC,,23_3,3,C,M,C,,Y,NA,20.93,
679,18_1SE_MC,,18_1,1,SE,M,C,,Y,77,17.56,
680,48_1SW_MF,,48_1,1,SW,M,F,,Y,163,20.45,
681,40_2SE_MC,,40_2,2,SE,M,C,,Y,129,21.2,
682,40_2SE_MF,,40_2,2,SE,M,F,,Y,129,21.29,
683,39_2NW_O,,39_2,2,NW,O,,,N,40,8.43,
684,39_2SE_O,,39_2,2,SE,O,,,N,166,10.93,
685,18_1NW_O,,18_1,1,NW,O,,,N,NA,9.47,
686,41_1SW_MC,,41_1,1,SW,M,C,,Y,NA,19.29,
687,2_3NE_O,,2_3,3,NE,O,,,N,NA,12.67,
688,36_1NW_O,,36_1,1,NW,O,,,N,NA,4.78,
689,12_1NW_O,,12_1,1,NW,O,,,N,98,9.53,
690,20_1NE_MC,,20_1,1,NE,M,C,,Y,41,21.46,
691,65_1NW_MC,,65_1,1,NW,M,C,0_5,Y,95,10.27,DOUBLE CHECK C
692,35_3SW_MC,,35_3,3,SW,M,C,,Y,200,22.46,
693,29_1SE_MC,,29_1,1,SE,M,C,,Y,99,25.04,
694,17_3NW_MC,,17_3,3,NW,M,C,,Y,49,18.53,
695,25_3C_MC,,25_3,3,C,M,C,,Y,53,19.41,
696,18_1SE_MF,,18_1,1,SE,M,F,,Y,77,0.24,
697,23_3SE_O,,23_3,3,SE,O,,,N,NA,12.64,
698,52_1SW_MC,,52_1,1,SW,M,C,5_10,Y,138,12.75,
699,15_3NE_MC,,15_3,3,NE,M,C,5_10,Y,36,23.82,
700,52_1NE_MC,,52_1,1,NE,M,C,0_5,Y,74,24.53,
701,29_1SW_MF,,29_1,1,SW,M,F,,Y,42,22.7,
702,42_1NW_MC,,42_1,1,NW,M,C,,Y,146,19.56,
703,39_2NE_MF,,39_2,2,NE,M,F,,Y,3,25.09,
704,36_1SW_MF,,36_1,1,SW,M,F,,Y,88,22.33,
705,39_2NE_MC,,39_2,2,NE,M,C,,Y,3,17.79,
706,44_0C_MC,,44_0,0,C,M,C,,Y,14,17.09,
707,44_0C_MF,,44_0,0,C,M,F,,Y,14,21.96,
708,36_1SW_MC,,36_1,1,SW,M,C,,Y,88,22.15,
709,42_1NW_MF,,42_1,1,NW,M,F,,Y,146,21.42,
710,26_2SE_MC,,26_2,2,SE,M,C,,Y,140,19.39,
711,4_2SE_O,,4_2,2,SE,O,,,N,55,9.96,
712,41_1SW_MF,,41_1,1,SW,M,F,,Y,NA,20.36,
713,33_1SW_MC,,33_1,1,SW,M,C,,Y,47,23.33,
714,12_1NW_MC,,12_1,1,NW,M,C,0_5,Y,90,2.41,
715,4_2C_O,,4_2,2,C,O,,,N,NA,8.03,
716,26_2SE_MF,,26_2,2,SE,M,F,,Y,140,24.45,
717,34_2NW_MF,,34_2,2,NW,M,F,,Y,67,20.21,
718,7_3NE_MC,,7_3,3,NE,M,C,,Y,117,24.44,
719,40_2C_O,,40_2,2,C,O,,,N,52,4.6,
720,48_1NW_O,,48_1,1,NW,O,,,N,120,8.55,
721,33_1NE_MC,,33_1,1,NE,M,C,,Y,76,40.64,
722,15_3C_MC,,15_3,3,C,M,C,10_15,Y,7,14.05,
723,50_1C_MC,,50_1,1,C,M,C,0_5,Y,2,2.75,
724,28_1SW_MC,,28_1,1,SW,M,C,,Y,148,19.66,
725,16_2SW_MC,,16_2,2,SW,M,C,,Y,47,17.03,
726,5_1NW_MC,,5_1,1,NW,M,C,,Y,66,21.56,
727,17_3C_MC,,17_3,3,C,M,C,,Y,108,18.36,
728,34_2NW_MC,,34_2,2,NW,M,C,,Y,107,21.8,
729,29_1NW_MC,,29_1,1,NW,M,C,,Y,91,21.82,
730,55_3SE_MC,,55_3,3,SE,M,C,,Y,97,18.28,
731,64_1C_MC,,64_1,1,C,M,C,5_10,Y,71,10.3,
732,36_1SE_MC,,36_1,1,SE,M,C,,Y,90,25.34,
733,64_1C_O,,64_1,1,C,O,,,N,108,8.09,
734,32_2NE_MC,,32_2,2,NE,M,C,,N,85,24.48,
735,10_0C_MC,,10_0,0,C,M,C,5_10,Y,84,3.96,
736,11_0SE_MC,,11_0,0,SE,M,C,0_5,Y,149,1.24,
737,10_0NW_MC,,10_0,0,NW,M,C,5_10,Y,97,3.92,
738,57_2C_MC,,57_2,2,C,M,C,0_5,Y,19,1.74,
739,58_0NW_O,,58_0,0,NW,O,,,Y,81,4.19,
740,41_1C_MC,,41_1,1,C,M,C,,Y,93,19.12,
741,12_1SE_O,,12_1,1,SE,O,,,N,38,7.26,
742,29_1SW_O,,29_1,1,SW,O,,,N,NA,4.75,
743,42_1SW_O,,42_1,1,SW,O,,,N,16,6.7,
744,16_2SE_MC,,16_2,2,SE,M,C,,Y,132,15.51,
745,28_1NE_O,,28_1,1,NE,O,,,N,137,6.94,
746,2_3SE_O,,2_3,3,SE,O,,,N,NA,11.7,
747,54_3NE_MC,,54_3,3,NE,M,C,,Y,51,21.89,
748,54_3NE_MF,,54_3,3,NE,M,F,,Y,51,23.13,
749,7_3SW_MC,,7_3,3,SW,M,C,,Y,68,15.48,
750,7_3SW_MF,,7_3,3,SW,M,F,,Y,68,14.17,
751,5_1NW_O,,5_1,1,NW,O,,,N,NA,7.74,
752,34_2NW_O,,34_2,2,NW,O,,,N,NA,12.1,
