VIAL,SAMPLE,SITE,PLOT,TREAT,CORNER,ORG_MIN,COARSE_FINE,DEPTH,DIVID,BAG,VIAL_WEIGHT,NOTES
NO_SAMPLE,47_2NE_MC,,47_2,2,NE,M,C,5_10,Y,73, ,
948,1_0SE_O,STEESE,1_0,0,SE,O,,,N,NA,14.11,
949,1_0C_O,STEESE,1_0,0,C,O,,,N,NA,10.77,
950,9_0SW_O,STEESE,9_0,0,SW,O,,,N,NA,6.33,
951,6_0C_O,STEESE,6_0,0,C,O,,,N,NA,5.79,
952,1_0SW_MC,STEESE,1_0,0,SW,M,C,,N,NA,16.88,
953,9_0C_O,STEESE,9_0,0,C,O,,,N,NA,8.43,
954,1_0NW_O,STEESE,1_0,0,NW,O,,,N,NA,4.55,
955,31_0SE_O,STEESE,31_0,0,SE,O,,,N,NA,7.5,
956,6_0SW_O,STEESE,6_0,0,SW,O,,,N,NA,6.01,
957,31_0NE_O,STEESE,31_0,0,NE,O,,,N,NA,4.06,
958,9_0NE_O,STEESE,9_0,0,NE,O,,,N,NA,8.55,
959,6_0NE_O,STEESE,6_0,0,NE,O,,,N,NA,6.44,
960,31_0C_O,STEESE,31_0,0,C,O,,,N,NA,11.76,
961,1_0NE_O,STEESE,1_0,0,NE,O,,,N,NA,31.49,
962,1_0SW_O,STEESE,1_0,0,SW,O,,,N,NA,4.24,
963,6_0NW_O,STEESE,6_0,0,NW,O,,,N,NA,8.43,
964,9_0SE_O,STEESE,9_0,0,SE,O,,,N,,4.99,
965,6_0SE_MF,STEESE,6_0,0,SE,M,F,,N,,21.76,
966,6_0SE_MC,STEESE,6_0,0,SE,M,C,,N,,14.98,
967,1_0C_MC,STEESE,1_0,0,C,M,C,,N,,14.49,
968,1_0C_MF,STEESE,1_0,0,C,M,F,,N,NA,20.14,
969,1_0SW_MF,STEESE,1_0,0,SW,M,F,,N,NA,21.37,
970,,,,,,,,,N,,18.54,
971,6_0SE_O,STEESE,6_0,0,SE,O,,,N,,4.77,
972,31_0SW_MC,STEESE,31_0,0,SW,M,C,,N,,37.25,
973,1_0SE_MC,STEESE,1_0,0,SE,M,C,,N,,42.05,
974,1_0SE_MF,STEESE,1_0,0,SE,M,F,,N,,23.97,
975,31_0C_MC,STEESE,31_0,0,C,M,C,,N,,14.85,
976,31_0C_MF,STEESE,31_0,0,C,M,F,,N,,19.37,
977,1_0NW_MC,STEESE,1_0,0,NW,M,C,,N,,16.15,
978,1_0NW_MF,STEESE,1_0,0,NW,M,F,,N,,19.33,
979,9_0SE_MF,STEESE,9_0,0,SE,M,F,,N,,13.89,
980,9_0SE_MC,STEESE,9_0,0,SE,M,C,,N,,16.88,
981,9_0NE_MC,STEESE,9_0,0,NE,M,C,,N,,15.95,
982,6_0SW_MC,STEESE,6_0,0,SW,M,C,,N,,19.82,
983,9_0NW_MC,STEESE,9_0,0,NW,M,C,,N,,23.48,
984,9_0NW_O,STEESE,9_0,0,NW,O,,,N,,7.95,
985,31_0NW_MF,STEESE,31_0,0,NW,M,F,,N,,20.88,
986,9_0NE_MF,STEESE,9_0,0,NE,M,F,,N,,20.42,
987,31_0NW_MC,STEESE,31_0,0,NW,M,C,,N,,13.67,
988,6_0C_MF,STEESE,6_0,0,C,M,F,,N,,23.64,
989,31_0SW_MF,STEESE,31_0,0,SW,M,F,,N,,6.52,
990,31_0SW_O,STEESE,31_0,0,SW,O,,,N,,7.98,
991,6_0C_MC,STEESE,6_0,0,C,M,C,,N,,14.87,
992,6_0SW_MF,STEESE,6_0,0,SW,M,F,,N,,18.54,
993,31_0NW_O,STEESE,31_0,0,NW,O,,,N,,8.49,
994,10_0NE_MF,DALTON,10_0,0,NE,M,F,5_10,Y,72,21,
995,23_3SW_O,,23_3,3,SW,O,,,N,,12.93,
996,50_1NE_MF,DALTON,50_1,1,NE,M,F,0_5,Y,93,10.05,
997,52_1C_MC,DALTON,52_1,1,C,M,C,5_10,Y,137,12.48,
NO_SAMPLE,32_2SW_O,DALTON,32_2,2,SW,O,,,,,,
NO_SAMPLE,57_2NW_O,DALTON,57_2,2,NW,O,,,,,,
